# idx t phi1 phi3 phi4
0 0.000000000000 0.000000000000 0.000000000000 0.000000000000
1 0.000000100000 10.008493412164 98.149809442399 -1.850190557601
2 0.000000200000 19.977708145438 100.079906516845 0.079906516845
3 0.000000300000 29.916529513671 100.127590069533 0.127590069533
4 0.000000400000 39.815436823841 100.137452193462 0.137452193462
5 0.000000600000 59.375406023440 100.154642025863 0.154642025863
6 0.000000800000 78.620571100459 100.170733934786 0.170733934786
7 0.000001000000 97.475535050110 100.185683293132 0.185683293132
8 0.000001025000 99.826161781945 100.187533997200 0.187533997200
9 0.000001031250 100.413425934115 100.187999346642 0.187999346642
10 0.000001034375 100.706945958817 100.231854565949 0.231854565949
11 0.000001035937 100.853664452675 100.339989073921 0.339989073921
12 0.000001039063 101.146918491901 100.609340116191 0.609340116191
13 0.000001045312 101.732680845737 101.166670248933 1.166670248933
14 0.000001057813 102.901187404854 102.294924251176 2.294924251176
15 0.000001082813 105.225969678373 104.556612894459 4.556612894459
16 0.000001132813 109.825617997869 109.048577503090 9.048577503090
17 0.000001232812 118.818108027587 117.847427627644 17.847427627644
18 0.000001332812 127.597033356107 126.444194411847 26.444194411847
19 0.000001432812 136.155961859504 134.828280738263 34.828280738263
20 0.000001532812 144.488761172870 142.992323623970 42.992323623970
21 0.000001632812 152.589594149442 150.929997888467 50.929997888467
22 0.000001732812 160.452918703467 158.635548272875 58.635548272875
23 0.000001832812 168.073488855255 166.103639610961 66.103639610961
24 0.000001932812 175.446356081835 173.329296523716 73.329296523716
25 0.000002032812 182.566870644194 180.307875881267 80.307875881267
26 0.000002132812 189.430682753541 187.035052907185 87.035052907185
27 0.000002232812 196.033743512159 193.506813628825 93.506813628825
28 0.000002332812 202.372305596705 199.719450476365 99.719450476365
29 0.000002432812 208.442923667377 205.669559497065 105.669559497065
30 0.000002532812 214.242454494579 211.354038394526 111.354038394526
31 0.000002632812 219.768056799312 216.770084961538 116.770084961538
32 0.000002732812 225.017190806256 221.915195659799 121.915195659799
33 0.000002832812 229.987617510288 226.787164200004 126.787164200004
34 0.000002932812 234.677397658333 231.384080032809 131.384080032809
